Judul Artikel,Konten,Rating,Image,Price
"Masjid Al - Azhar: Peradaban & Pusat Pergerakan Pendidikan!","Masjid Al-Azhar Jakarta, atau lebih sering dikenal sebagai Masjid Agung Al-Azhar, terletak di Jakarta Selatan, Provinsi Daerah Khusus Ibukota Jakarta, Indonesia. Masjid ini berdiri atas inisiatif Yayasan Pesantren Islam Al-Azhar, yang awalnya didirikan khusus untuk membangun masjid ini beserta fasilitas sekitarnya. Pembangunan masjid ini berlangsung dari tahun 1953 hingga 1958. Pada saat selesai dibangun, Masjid Al-Azhar merupakan masjid terbesar di Jakarta. Namun, status sebagai masjid terbesar di Jakarta diambil alih oleh Masjid Istiqlal pada tahun 1978. Meskipun demikian, Masjid Agung Al-Azhar tetap menjadi salah satu ikon penting di Jakarta dan terus menjadi pusat kegiatan keagamaan serta sosial bagi masyarakat sekitar. Keberadaan masjid ini juga mencerminkan kekayaan sejarah dan budaya Islam di Indonesia.",4.95,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746946019/cdcd318c-44f2-4ba8-9c78-aefef5a91441.png,"30000 - 75000"
"Blok - S: Pujasera Anak Jaksel!","Blok S merupakan salah satu wilayah di Jakarta Selatan yang dikenal sebagai pusat kuliner. Di sini, terdapat Pujasera Blok S yang terletak di Rawa Barat, Kebayoran Baru. Pujasera ini diresmikan oleh Pemerintah Provinsi DKI Jakarta pada tahun 2017 dan menjadi tempat favorit bagi para pencinta makanan. Sebagai salah satu proyek binaan Dinas Koperasi Usaha Kecil Menengah (KUKM) DKI Jakarta, Pujasera Blok S juga mendapat dukungan pendanaan dari Corporate Social Responsibility (CSR) perusahaan swasta. Di Pujasera Blok S, pengunjung dapat menemukan beragam kuliner khas Indonesia. Beberapa hidangan yang populer antara lain bakso yang kenyal, soto betawi yang gurih, sate yang lezat, sop kambing yang kaya rasa, nasi goreng yang menggugah selera, sate padang yang pedas, serta aneka minuman segar seperti es teler dan es podeng. Keberagaman kuliner ini menjadikan Pujasera Blok S sebagai destinasi wajib bagi siapa saja yang ingin menikmati kuliner otentik di Jakarta.",4.75,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746946122/ddf3a6c8-9262-432b-a7d5-0c9e1050a808.png,"25000 - 100000"
"Masjid Nurul Iman: Kedamaian di atas Blok-M Square","Masjid Nurul Iman Blok M Square merupakan salah satu masjid terbesar yang berdiri di atas pusat perbelanjaan Blok M Square di Jakarta. Masjid ini mampu menampung hingga 14.000 jemaah, menjadikannya sebagai tempat ibadah yang signifikan di tengah kesibukan kota Jakarta. Letaknya yang berada di lantai teratas mal memberikan pengalaman unik bagi para pengunjung, di mana mereka dapat merasakan ketenangan spiritual di tengah hiruk-pikuk kehidupan urban. Keberadaan masjid ini tidak hanya sekadar tempat ibadah, tetapi juga simbol perpaduan antara modernitas dan spiritualitas. Masjid Nurul Iman memiliki sejarah panjang dan penuh perjuangan sebelum mencapai bentuknya yang sekarang. Masjid ini menawarkan ruang ibadah yang luas dan nyaman, menjadikannya sebagai destinasi utama bagi umat Muslim yang mencari kedamaian dan kenyamanan dalam beribadah.",5,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746946310/ce995944-ac07-4612-8a97-aaedf2d6ba6b.png,"30000 - 75000"
"ISA Art & Design: The Art of Remembering","Deborah's journey into the art world began at the age of 26 while she was working as a finance lawyer. Her passion for art collecting was ignited when she purchased a Russian painting at an art exhibition in Hong Kong. After relocating to Indonesia in 1991, Deborah officially entered the art scene by opening Christie's, the first auction house in Indonesia, in 1996. Her experience grew further when she joined Sotheby's before eventually founding her own venture, ISA Art Gallery, situated in central Jakarta. Deborah's role as a senior figure in the art industry allows her to influence and shape the art landscape significantly. Her collection is a testament to her diverse interests and commitment to art. Initially drawn to non-conformist Soviet art, Deborah's tastes evolved to include Vietnamese art during her early years at Christie's. She acquired pieces by artists such as Le Pho, Mai Thu, and Vu Cao Dam. The post-Soeharto era in Indonesia opened up new opportunities, leading her to explore contemporary Indonesian art. Deborah visited the studios of prominent artists like Agus Suwage, Yunizar, Masriadi, and Rudy Mantovani, and began acquiring works from celebrated contemporary artists such as Arahmaiani, Heri Dono, and Jompet. As the owner of ISA Art Gallery, Deborah is dedicated to discovering emerging talent and continues to expand her collection by acquiring works from young artists. Her gallery's mission emphasizes the promotion of women artists and those from the Indonesian Diaspora, reflecting her personal connection as part of a dual-nationality family. Through her endeavors, Deborah not only enriches her collection but also supports and uplifts the voices of new and diverse artists in the community.",4.45,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947567/ce9070e7-8c3f-49a6-92bf-edfc10adc0f1.png,"85000 - 750000"
"Ruci Artspace: Lighting Up the Local Art","Located in the bustling district of Senopati, Ruci Art Space has carved out a niche for itself as a sanctuary of creativity and enlightenment. Derived from the Sanskrit word meaning ""the source of light,"" Ruci Art Space aims to illuminate and inspire through the transformative power of art. The gallery showcases captivating artworks by emerging local artists, who draw from their life experiences and cultural heritage to create pieces that challenge the apathy of modern audiences. Among the current exhibitions, Kinez Riza's work stands out with its immersive installations. ""Ontogeny"" invites viewers into a dimly lit room where a moving projected image subtly disturbs one's sense of balance, creating an engaging and disorienting experience. In another installation, ""In the woods is perpetual youth,"" a fragment of forest is recreated in a chilly, dimly lit space with a floor covered in dying leaves. This surprising combination of sensory elements evokes feelings of tranquility and security amidst the darkness. Ruci Art Space not only serves as an entry point for art enthusiasts seeking knowledge but also provides a platform for those looking to engage with thought-provoking artworks. It encourages analytical contemplation over passive consumption, offering an alternative to mindless entertainment. As Jakarta's art scene continues to develop, Ruci Art Space stands as a guiding light, fostering dialogue and growth within the community.",4.55,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746944462/04a99db4-e7b5-404a-9ad1-75865856a49f.png,"85000 - 500000"
"Pasar Kue Subuh: The Morning Rhythm","Every day, from two until eight in the morning, the tables at Pasar Kue Subuh Blok M are adorned with an array of traditional delicacies. These range from fried pastries and sticky sweets wrapped in banana leaves to neon-coloured steamed cupcakes—treats that often elude precise English translations. Among these are bika Ambon, lapis Surabaya, and sosis Solo, each snack a testament to Indonesia's diverse cultural tapestry. These delicious treats, commonly known as *jajanan pasar*, are staples at social gatherings throughout the country, gracing events from joyous weddings and birthdays to solemn memorials. Established in the 1960s, Pasar Kue Subuh Blok M has weathered many changes in its surroundings, from the bustling days of Aldiron Plaza to the rejuvenation brought by the MRT's arrival in 2019. Yet, the market has not been immune to the impacts of the pandemic. Uni, a dedicated vendor who has been part of this bustling scene for seven years, shares how the pandemic has affected her livelihood. ""Before, I could sell up to 1000 pieces of each snack within a day. Now, I'd be lucky to sell 300,"" she confides. Despite the challenges, Uni and her husband continue to offer their selection of *jajanan pasar* from their spot beneath the eastern eaves of Blok M Square mall, their commitment to preserving this beloved tradition unwavering.",4.8,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746946473/31c5847f-5f8e-4dec-ba40-5a5957f6e055.png,"15000 - 150000"
"The F Thing Store: Fashion Enthusiast","The F Thing merupakan perusahaan yang berfokus pada bidang fashion dengan misi menggabungkan gaya tradisional dan modern. Sebagai platform berbasis komunitas, The F Thing menjadi tempat di mana fashion dan gaya hidup saling berinteraksi dan berinovasi. Dengan menyediakan ruang untuk kreativitas dan ekspresi diri, platform ini menjadi magnet bagi mereka yang ingin menjelajahi dan mengapresiasi dunia fashion yang terus berkembang. Target utama The F Thing adalah generasi millennial dan generasi Z, yang dikenal sebagai generasi yang selalu berinovasi dan berpengaruh. Generasi ini aktif di platform berbasis web dan media sosial, menjadikan The F Thing sebagai jembatan yang sempurna untuk menjangkau dan melibatkan mereka. Dengan memahami kebutuhan dan tren yang digemari oleh generasi muda, The F Thing terus berupaya untuk menciptakan pengalaman fashion yang relevan dan menarik bagi komunitasnya.",4.75,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746946850/5d717051-da78-4429-8e89-03fdfa226a49.png,"50000 - 300000"
"Post Santa: Place for creative community","POST is a unique, independent bookshop located on the upper floor of Pasar Santa, a traditional market in Jakarta Selatan. Open every day, POST offers a carefully curated selection of books, handpicked by the owners and bookshop keepers. These selections include titles that are thought-provoking or recommended by trusted friends and fellow book enthusiasts. At POST, you can find both local and imported books, whether new or pre-loved, that are often difficult to locate in major bookstores. The shop stocks works by both Anglophone and non-Anglophone authors and highlights interesting titles from Indonesian independent publishers such as Banana, Marjin Kiri, Kakatua, and Ultimus. If you're searching for a specific book, the team at POST is more than willing to help you find it. Beyond just a bookshop, POST is a vibrant community hub that fosters dialogue and connection. The space hosts events such as #MenulisdiPasar, an intimate writing workshop welcoming new writers to explore their creativity and express themselves. Additionally, POST organizes book launches, reading clubs like Critics Anonymous, and bookshop takeovers with various collaborators. Occasionally, POST takes its collection on the road for Pop-Up Bookshops at cafes or events. Through these activities, POST aims to connect people and share the love of literature, offering a platform for collaboration and the exchange of ideas. Follow their journey on Instagram and Twitter to discover what's next in their literary adventures.",4.75,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947031/6e06cc3c-b293-4b28-9706-ceb1cea00df6.png,"45000 - 150000"
"Go Local at M Bloc Market","M Bloc Space, occupying over 2,000 square meters of a former Perum Peruri warehouse, offers a unique shopping experience with a focus on wellness, traceability, and locality. This modern toko kelontong, designed by M Blocâ€™s Building and Tenant Director Jacob Gatot Sura of Arcadia Architect, is dedicated to supporting independent, homegrown brands throughout the archipelago. The marketplace prioritizes well-being through its curated product selections, ensuring each item contributes to a healthier lifestyle. Traceability is emphasized, allowing consumers to understand the journey of products from production to their shopping bags. By supporting local production, the marketplace showcases the rich variety of products available within the archipelago, fostering community and sustainability. The founders of M Bloc Space delve into the concept of conscious shopping in urban settings. While conscious shopping often centers around ethical and eco-friendly practices, M Bloc Space broadens this idea to include product traceability. Under the leadership of co-founder Handoko Hendroyono, the marketplace team ensures the quality and authenticity of locally-made products. In collaboration with Peruri, they have developed a mobile app that allows shoppers to access detailed product descriptions and trace the origins of the brands. This initiative not only enhances consumer confidence but also promotes transparency in the shopping experience.",4.55,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947031/6e06cc3c-b293-4b28-9706-ceb1cea00df6.png,"45000 - 250000"
"Aksara Bookstore: Epilogue for an era","Aksara is on a mission to highlight literary gems from smaller publishing companies, recognizing that these works are just as impressive and deserving of attention as those from larger publishers. To achieve this goal, Aksara has teamed up with POST, a local independent bookstore established in 2014 at Pasar Santa. Together, they aim to elevate indie and alternative literatures, focusing on bringing these lesser-known works into the spotlight.This collaboration curates a diverse collection of books from small and local publishers like Mojok, Lontar, and Post Santa. While the primary focus is on indie literature, the selection also includes national and international best-sellers, ensuring a wide range of choices. Whether you're exploring a book from KPGâ€™s The Comma Books or a renowned title from global giants like Penguin Books, the variety promises that every bookworm will find something captivating. Despite the store's compact nature, the browsing experience at Aksara and POST is designed to be engaging, allowing visitors to discover new authors and titles that might otherwise remain obscured.",4.6,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746943923/05265a29-f843-462d-af9e-3d7e4d3e53f6.png,"65000 - 155000"
"Taman Langsat: Piknik di Ruang Terbuka Hijau","Taman Langsat awalnya berfungsi sebagai tempat penampungan bibit tanaman yang dikelola oleh Pemerintah Provinsi DKI Jakarta. Dengan luas area mencapai 3,6 hektar, taman ini dahulu jarang didatangi oleh masyarakat dan lebih dikenal sebagai area penyuluhan pertamanan. Namun, pada tahun 2012, Pemprov DKI Jakarta melakukan renovasi yang signifikan. Perubahan ini membuat Taman Langsat tampil lebih menarik dengan berbagai fasilitas yang memikat perhatian warga. Sejak saat itu, taman ini mulai ramai dikunjungi sebagai salah satu tempat wisata di Jakarta Selatan. Selain berfungsi sebagai tempat rekreasi, Taman Langsat tetap mempertahankan perannya dalam penyuluhan pertamanan. Pengunjung dapat melihat tempat pembudidayaan pohon pakem raja yang juga digunakan sebagai penunjuk arah di jalan-jalan protokol Jakarta dan Istana Negara. Tidak hanya itu, taman ini sering menjadi lokasi pameran flora dan fauna, menambah daya tarik bagi masyarakat yang ingin merasakan suasana alam di tengah hiruk-pikuk kota. Dengan segala daya tariknya, Taman Langsat berhasil menjadi destinasi wisata yang populer di Jakarta.",4.4,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947115/3516ce81-1f9b-4956-a67c-8b7d8e270869.png,"25000 - 75000"
"Inul Vizta Karaoke: Bernyanyi layaknya Inul Daratista","Berkumpul bersama keluarga dan teman dekat di ruang karaoke adalah salah satu cara terbaik untuk menghabiskan waktu bersama. Dengan mikrofon di tangan dan playlist lagu favorit yang sudah dipilih, Anda bisa bernyanyi sepuasnya. Tidak hanya sebagai sarana hiburan, karaoke juga bisa menjadi momen untuk melepas stres dan berbagi tawa. Tentukan lagu-lagu kesukaanmu, dari balada yang menyentuh hingga lagu pop yang enerjik, dan rasakan kebahagiaan yang terpancar saat semua orang turut bernyanyi. Agar suasana semakin meriah, atur pencahayaan ruang karaoke sedemikian rupa. Gunakan lampu warna-warni atau lampu sorot yang dapat membuat suasana lebih hidup. Dengan pencahayaan yang tepat, ruangan akan terasa lebih asyik dan menambah semangat untuk bernyanyi. Aktivitas ini sangat cocok untuk jenis wisatawan seperti Keluarga Asyik dan Geng Asyik yang ingin menikmati quality time dengan penuh keceriaan dan kebersamaan. Nikmati setiap momen dan ciptakan kenangan tak terlupakan bersama orang-orang tercinta.",4.6,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947214/f7cd4d3b-c2f7-4bfc-bc91-97d6fa6f0241.png,"85000 - 650000"
"Nav Karaoke: Bersundau gurau bersama teman","Sedang mencari tempat karaoke terdekat di Jakarta Selatan? NAV Family Karaoke Blok M adalah pilihan yang tepat. Didirikan pada tahun 2000, tempat ini telah menjadi salah satu tempat karaoke keluarga terbaik di Indonesia. Menawarkan ruangan privat yang nyaman untuk 4 hingga 30 orang, NAV Family Karaoke Blok M menjanjikan pengalaman karaoke yang menyenangkan dan tak terlupakan. Dengan perangkat layar sentuh yang memudahkan pencarian lagu, Anda dapat menemukan puluhan ribu lagu karaoke dalam berbagai bahasa dan genre, mulai dari lagu top 40, K-pop, hingga lagu rohani. Selain itu, kualitas audio yang prima dan desain ruangan yang modern semakin menambah kenikmatan saat bernyanyi bersama teman atau keluarga. NAV Family Karaoke juga menyediakan berbagai pilihan voucher dan paket karaoke, menjadikannya pilihan yang ekonomis sekaligus menyenangkan. Dengan semua fasilitas ini, Anda dan orang-orang tercinta akan mendapatkan pengalaman karaoke yang mengesankan dan penuh keseruan di NAV Family Karaoke Blok M.",4.2,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947348/d2b208c6-cc44-46f3-b86d-61d31b850929.png,"85000 - 650000"
"Pasar Raya Blok M: 1000 aktivitas untuk semua kalangan","Pasaraya Blok M adalah salah satu pusat perbelanjaan yang terletak di kawasan Blok M, Jakarta Selatan, yang terkenal dengan pilihan mal-mal terjangkau. Pusat perbelanjaan ini menawarkan berbagai macam barang dari produk lokal hingga impor dari Tiongkok. Salah satu barang yang banyak diminati pengunjung adalah batik, yang tersedia dalam berbagai desain dan warna. Sebelum Anda memutuskan untuk berbelanja di Pasaraya Blok M, ada beberapa hal yang perlu diketahui. Pusat perbelanjaan ini memiliki beberapa department store yang menawarkan berbagai produk mulai dari fashion hingga elektronik. Selain itu, ada satu lantai di Pasaraya Blok M yang dikhususkan untuk seni, kerajinan, cenderamata, dan produk organik Indonesia seperti kopi dan makanan khas daerah. Lantai ini adalah tempat yang sempurna bagi mereka yang mencari produk otentik Indonesia atau oleh-oleh yang unik. Dengan atmosfer belanja yang nyaman dan beragam pilihan produk, Pasaraya Blok M menjadi destinasi belanja yang menarik bagi penduduk lokal maupun wisatawan. Jangan lupa untuk memperhatikan jam operasional dan mungkin mempersiapkan daftar belanja agar kunjungan Anda lebih efisien dan menyenangkan.",4.1,https://res.cloudinary.com/dxjm1mdjc/image/upload/v1746947484/0715bd84-1d97-4214-bbcf-18040b4cf0d3.png,"55000 - 150000"
